,name
0,Alaa Abdelnaby
1,Tom Abernethy
2,Forest Able
3,John Abramovic
4,Alex Acker
5,Don Ackerman
6,Mark Acres
7,Bud Acton
8,Quincy Acy
9,Alvan Adams
10,Don Adams
11,George Adams
12,Hassan Adams
13,Jaylen Adams
14,Jordan Adams
15,Michael Adams
16,Steven Adams
17,Rafael Addison
18,Bam Adebayo
19,Deng Adel
20,Rick Adelman
21,Jeff Adrien
22,Arron Afflalo
23,Maurice Ager
24,Mark Aguirre
25,Blake Ahearn
26,Danny Ainge
27,Matthew Aitch
28,Henry Akin
29,Josh Akognon
30,Solomon Alabi
31,Mark Alarie
32,Gary Alcorn
33,Furkan Aldemir
34,Cole Aldrich
35,LaMarcus Aldridge
36,Chuck Aleksinas
37,Cliff Alexander
38,Cory Alexander
39,Courtney Alexander
40,Gary Alexander
41,Joe Alexander
42,Victor Alexander
43,Steve Alford
44,Rawle Alkins
45,Bill Allen
46,Bob Allen
47,Grayson Allen
48,Jarrett Allen
49,Jerome Allen
50,Kadeem Allen
51,Lavoy Allen
52,Lucius Allen
53,Malik Allen
54,Randy Allen
55,Ray Allen
56,Tony Allen
57,Willie Allen
58,Odis Allison
59,Lance Allred
60,Darrell Allums
61,Morris Almond
62,Derrick Alston
63,Rafer Alston
64,Peter Aluma
65,John Amaechi
66,Ashraf Amaya
67,Lou Amundson
68,Bob Anderegg
69,Chris Andersen
70,David Andersen
71,Alan Anderson
72,Andrew Anderson
73,Antonio Anderson
74,Cliff Anderson
75,Dan Anderson
76,Dan Anderson
77,Derek Anderson
78,Dwight Anderson
79,Eric Anderson
80,Greg Anderson
81,James Anderson
82,Jerome Anderson
83,Justin Anderson
84,Kenny Anderson
85,Kim Anderson
86,Kyle Anderson
87,Michael Anderson
88,Nick Anderson
89,Richard Anderson
90,Ron Anderson
91,Ryan Anderson
92,Shandon Anderson
93,Willie Anderson
94,Wally Anderzunas
95,Don Anielak
96,Ike Anigbogu
97,Michael Ansley
98,Chris Anstey
99,Giannis Antetokounmpo
100,Kostas Antetokounmpo
101,Thanasis Antetokounmpo
102,Carmelo Anthony
103,Greg Anthony
104,Joel Anthony
105,OG Anunoby
106,Keith Appling
107,Stacey Arceneaux
108,Robert Archibald
109,Tiny Archibald
110,Ryan Arcidiacono
111,Jim Ard
112,Gilbert Arenas
113,Trevor Ariza
114,Paul Arizin
115,Joe Arlauckas
116,Bob Armstrong
117,Brandon Armstrong
118,Curly Armstrong
119,Darrell Armstrong
120,Hilton Armstrong
121,Tate Armstrong
122,Jesse Arnelle
123,Jay Arnette
124,Bob Arnzen
125,Carlos Arroyo
126,Darrell Arthur
127,John Arthurs
128,Jamel Artis
129,Vincent Askew
130,Keith Askins
131,Don Asmonga
132,Dick Atha
133,Chucky Atkins
134,Al Attles
135,Chet Aubuchon
136,Stacey Augmon
137,James Augustine
138,Isaac Austin
139,Johnny Austin
140,Ken Austin
141,Anthony Avent
142,Bird Averitt
143,William Avery
144,Dennis Awtrey
145,Jeff Ayres
146,Deandre Ayton
147,Kelenna Azubuike
148,Chris Babb
149,Luke Babbitt
150,Johnny Bach
151,Dwayne Bacon
152,Henry Bacon
153,Jim Baechtold
154,John Bagley
155,Marvin Bagley
156,Carl Bailey
157,Gus Bailey
158,James Bailey
159,Thurl Bailey
160,Toby Bailey
161,Cameron Bairstow
162,Jimmie Baker
163,LaMark Baker
164,Maurice Baker
165,Norm Baker
166,Ron Baker
167,Vin Baker
168,Wade Baldwin
169,Renaldo Balkman
170,Cedric Ball
171,Lonzo Ball
172,Greg Ballard
173,Herschel Baltimore
174,Mohamed Bamba
175,Gene Banks
176,Marcus Banks
177,Walker Banks
178,Ken Bannister
179,Mike Bantom
180,John Barber
181,Leandro Barbosa
182,Steve Bardo
183,Andrea Bargnani
184,Cliff Barker
185,Tom Barker
186,Charles Barkley
187,Erick Barkley
188,Don Barksdale
189,Harrison Barnes
190,Harry Barnes
191,Jim Barnes
192,Marvin Barnes
193,Matt Barnes
194,Dick Barnett
195,Jim Barnett
196,Nathaniel Barnett
197,John Barnhill
198,Norton Barnhill
199,Leo Barnhorst
200,John Barr
201,Mike Barr
202,Moe Barr
203,Andre Barrett
204,Ernie Barrett
205,Mike Barrett
206,RJ Barrett
207,Earl Barron
208,Dana Barros
209,Brent Barry
210,Drew Barry
211,Jon Barry
212,Rick Barry
213,Ed Bartels
214,Vic Bartolome
215,Will Barton
216,Eddie Basden
217,Jerry Baskerville
218,Brandon Bass
219,Tim Bassett
220,Maceo Baston
221,Mengke Bateer
222,Billy Ray Bates
223,Esteban Batista
224,Mike Batiste
225,Tony Battie
226,Shane Battier
227,John Battle
228,Kenny Battle
229,Dave Batton
230,Lloyd Batts
231,Nicolas Batum
232,Johnny Baum
233,Frankie Baumholtz
234,Lonny Baxter
235,Jerryd Bayless
236,Elgin Baylor
237,Howard Bayne
238,Aron Baynes
239,Sergei Bazarevich
240,Kent Bazemore
241,Darius Bazley
242,Ed Beach
243,Bradley Beal
244,Al Beard
245,Butch Beard
246,Ralph Beard
247,Charles Beasley
248,Jerome Beasley
249,John Beasley
250,Malik Beasley
251,Michael Beasley
252,Zelmo Beaty
253,Rodrigue Beaubois
254,Byron Beck
255,Corey Beck
256,Ernie Beck
257,Arthur Becker
258,Moe Becker
259,Bob Bedell
260,William Bedford
261,Hank Beenders
262,Ron Behagen
263,Elmer Behnke
264,Marco Belinelli
265,Charlie Bell
266,Dennis Bell
267,Jordan Bell
268,Raja Bell
269,Troy Bell
270,Whitey Bell
271,Walt Bellamy
272,Irv Bemoras
273,Leon Benbow
274,Dragan Bender
275,Jonathan Bender
276,Jerrelle Benimon
277,Benoit Benjamin
278,Corey Benjamin
279,Anthony Bennett
280,Elmer Bennett
281,Mario Bennett
282,Mel Bennett
283,Spider Bennett
284,Tony Bennett
285,Winston Bennett
286,David Benoit
287,Keith Benson
288,Kent Benson
289,Ben Bentil
290,Gene Berce
291,Gary Bergen
292,Larry Bergh
293,Ricky Berry
294,Walter Berry
295,Del Beshore
296,Travis Best
297,Patrick Beverley
298,Sim Bhullar
299,Wesley Bialosuknia
300,Al Bianchi
301,Hank Biasatti
302,Henry Bibby
303,Mike Bibby
304,Ed Biedenbach
305,Don Bielke
306,Bob Bigelow
307,Lionel Billingy
308,Chauncey Billups
309,Dave Bing
310,Joe Binion
311,Khem Birch
312,Jabari Bird
313,Jerry Bird
314,Larry Bird
315,Otis Birdsong
316,Gale Bishop
317,Goga Bitadze
