,% of FGA by Distance/0-3,% of FGA by Distance/10-16,% of FGA by Distance/16-3pt,% of FGA by Distance/2P,% of FGA by Distance/3-10,% of FGA by Distance/3P,Cornder/3P%,Corner/%3PA,Corner/3P%,Dunks/%FGA,Dunks/Md.,FG% by Distance/0-3,FG% by Distance/10-16,FG% by Distance/16-3pt,FG% by Distance/2P,FG% by Distance/3-10,FG% by Distance/3P,Heaves/Att.,Heaves/Md.,Unnamed: 0_level_1/Season,Unnamed: 1_level_1/Age,Unnamed: 21_level_1/%Ast'd,Unnamed: 24_level_1/%Ast'd,Unnamed: 24_level_1/Ast'd,Unnamed: 2_level_1/Tm,Unnamed: 3_level_1/Lg,Unnamed: 4_level_1/Pos,Unnamed: 5_level_1/G,Unnamed: 6_level_1/MP,Unnamed: 7_level_1/FG%,Unnamed: 8_level_1/Dist.
0,0.188,0.313,0.188,0.688,0.0,0.313,,0.2,0.0,0.0,0.0,0.0,0.4,0.33299999999999996,0.273,,0.2,0.0,0.0,2005-06,23.0,0.33299999999999996,0.0,,DET,NBA,SG,5.0,35.0,0.25,16.1
1,0.22399999999999998,0.11800000000000001,0.32899999999999996,0.737,0.066,0.263,,0.45,0.222,0.013000000000000001,0.0,0.294,0.556,0.44,0.41100000000000003,0.4,0.35,0.0,0.0,2008-09,26.0,0.478,0.7140000000000001,,TOT,NBA,SG,25.0,199.0,0.395,14.7
2,0.091,0.091,0.364,0.636,0.091,0.364,,0.5,0.0,0.0,0.0,1.0,0.0,0.75,0.5710000000000001,0.0,0.0,0.0,0.0,2008-09,26.0,0.5,,,DET,NBA,SG,7.0,20.0,0.364,17.8
3,0.24600000000000002,0.12300000000000001,0.32299999999999995,0.754,0.062,0.24600000000000002,,0.43799999999999994,0.28600000000000003,0.015,0.0,0.25,0.625,0.381,0.38799999999999996,0.5,0.43799999999999994,0.0,0.0,2008-09,26.0,0.474,0.7140000000000001,,LAC,NBA,SG,18.0,179.0,0.4,14.1
4,0.573,0.053,0.267,0.973,0.08,0.027000000000000003,,0.5,1.0,0.267,19.0,0.6509999999999999,0.5,0.4,0.562,0.5,0.5,0.0,0.0,2012-13,22.0,0.732,1.0,,TOR,NBA,PF,29.0,342.0,0.56,7.9
5,0.461,0.05,0.163,0.894,0.22,0.106,,0.667,0.3,0.191,25.0,0.6,0.429,0.348,0.49200000000000005,0.387,0.267,0.0,0.0,2013-14,23.0,0.6940000000000001,1.0,,TOT,NBA,SF,63.0,847.0,0.46799999999999997,8.1
6,0.35700000000000004,0.0,0.214,0.643,0.071,0.35700000000000004,,0.4,0.5,0.14300000000000002,2.0,0.6,,0.0,0.444,1.0,0.4,0.0,0.0,2013-14,23.0,0.75,1.0,,TOR,NBA,SF,7.0,61.0,0.429,14.1
7,0.47200000000000003,0.055,0.157,0.9209999999999999,0.23600000000000002,0.079,,0.8,0.25,0.19699999999999998,23.0,0.6,0.429,0.4,0.496,0.36700000000000005,0.2,0.0,0.0,2013-14,23.0,0.69,1.0,,SAC,NBA,SF,56.0,786.0,0.47200000000000003,7.5
8,0.29600000000000004,0.133,0.29600000000000004,0.8190000000000001,0.094,0.18100000000000002,,0.38299999999999995,0.261,0.106,33.0,0.6729999999999999,0.409,0.37799999999999995,0.494,0.419,0.3,1.0,0.0,2014-15,24.0,0.7240000000000001,1.0,,NYK,NBA,PF,68.0,1287.0,0.45899999999999996,12.8
9,0.45799999999999996,0.037000000000000005,0.154,0.7709999999999999,0.121,0.22899999999999998,,0.34700000000000003,0.529,0.215,43.0,0.735,0.5,0.424,0.606,0.385,0.38799999999999996,0.0,0.0,2015-16,25.0,0.71,0.9470000000000001,,SAC,NBA,PF,59.0,876.0,0.556,9.7
10,0.265,0.076,0.059000000000000004,0.47100000000000003,0.065,0.529,,0.278,0.36,0.035,6.0,0.489,0.308,0.4,0.413,0.273,0.41100000000000003,1.0,0.0,2016-17,26.0,0.727,0.973,,TOT,NBA,PF,38.0,558.0,0.41200000000000003,16.2
