,Season,Pos,%2PA,%0-3A,%3-10A,%10-16A,%16-3ptA,%3PA,2P%,0-3%,3-10%,10-16%,16-3pt%,3P%,MPG
5,14,3,0.894,0.461,0.22,0.05,0.163,0.106,0.4920000000000001,0.6,0.387,0.429,0.348,0.267,13.444444444444445
7,14,3,0.921,0.472,0.236,0.055,0.157,0.079,0.496,0.6,0.3670000000000001,0.429,0.4,0.2,14.035714285714286
8,15,4,0.8190000000000001,0.29600000000000004,0.094,0.133,0.29600000000000004,0.181,0.494,0.6729999999999999,0.419,0.409,0.378,0.3,18.926470588235293
9,16,4,0.7709999999999999,0.458,0.121,0.037000000000000005,0.154,0.229,0.606,0.735,0.385,0.5,0.424,0.388,14.847457627118644
10,17,4,0.471,0.265,0.065,0.076,0.059,0.529,0.413,0.489,0.273,0.308,0.4,0.411,14.68421052631579
12,17,4,0.458,0.268,0.059,0.078,0.052000000000000005,0.542,0.414,0.488,0.222,0.25,0.5,0.434,15.9375
13,18,4,0.2,0.115,0.027000000000000003,0.025,0.033,0.8,0.384,0.5,0.0,0.333,0.333,0.349,19.414285714285715
14,19,4,0.16699999999999998,0.111,0.0,0.056,0.0,0.833,0.667,1.0,,0.0,,0.133,12.3
17,19,1,0.327,0.118,0.08199999999999999,0.073,0.055,0.6729999999999999,0.361,0.5379999999999999,0.111,0.25,0.5,0.338,12.588235294117647
20,14,5,1.0,0.659,0.292,0.043,0.005,0.0,0.503,0.615,0.29600000000000004,0.25,0.0,,14.777777777777779
21,15,5,0.995,0.599,0.35600000000000004,0.038,0.003,0.005,0.547,0.644,0.408,0.333,0.0,0.0,25.3
22,16,5,1.0,0.721,0.258,0.016,0.005,0.0,0.613,0.655,0.5,0.5710000000000001,0.5,,25.175
23,17,5,0.998,0.557,0.388,0.046,0.005,0.002,0.5720000000000001,0.655,0.488,0.3670000000000001,0.0,0.0,29.8625
24,18,5,0.997,0.708,0.233,0.052000000000000005,0.004,0.003,0.631,0.688,0.494,0.514,0.0,0.0,32.723684210526315
25,19,5,0.998,0.645,0.294,0.058,0.0,0.002,0.596,0.667,0.458,0.511,,0.0,33.3625
26,20,5,0.993,0.53,0.388,0.07200000000000001,0.002,0.006999999999999999,0.593,0.745,0.39,0.563,1.0,0.333,26.96551724137931
28,18,5,0.979,0.624,0.232,0.08199999999999999,0.041,0.021,0.523,0.642,0.329,0.321,0.214,0.0,19.82608695652174
29,19,5,0.969,0.5720000000000001,0.243,0.121,0.033,0.031,0.588,0.716,0.415,0.373,0.438,0.2,23.329268292682926
30,20,4,0.982,0.483,0.303,0.149,0.047,0.018000000000000002,0.5760000000000001,0.735,0.454,0.421,0.235,0.077,34.38461538461539
34,13,4,0.988,0.363,0.208,0.14300000000000002,0.274,0.012,0.434,0.508,0.429,0.417,0.348,0.0,13.711538461538462
35,14,4,1.0,0.56,0.222,0.098,0.12,0.0,0.52,0.617,0.426,0.333,0.394,,18.132075471698112
37,14,4,1.0,0.515,0.247,0.098,0.14,0.0,0.515,0.628,0.414,0.348,0.394,,25.178571428571427
38,15,4,1.0,0.523,0.25,0.114,0.114,0.0,0.4320000000000001,0.522,0.273,0.4,0.4,,12.647058823529411
39,8,2,0.8009999999999999,0.332,0.054000000000000006,0.129,0.28600000000000003,0.199,0.461,0.525,0.308,0.419,0.435,0.208,12.933333333333334
40,9,2,0.643,0.24,0.023,0.07,0.31,0.35700000000000004,0.456,0.625,0.429,0.333,0.355,0.402,16.675675675675677
41,10,2,0.574,0.258,0.056,0.079,0.181,0.426,0.488,0.55,0.364,0.391,0.481,0.434,27.085365853658537
42,11,2,0.604,0.241,0.132,0.077,0.155,0.396,0.546,0.662,0.518,0.5,0.412,0.423,33.68115942028985
43,12,2,0.684,0.272,0.142,0.107,0.163,0.316,0.504,0.684,0.32299999999999995,0.373,0.447,0.398,33.645161290322584
44,13,3,0.735,0.175,0.128,0.202,0.23,0.265,0.489,0.6459999999999999,0.414,0.4970000000000001,0.404,0.3,36.046875
45,14,2,0.703,0.157,0.081,0.161,0.304,0.297,0.473,0.591,0.366,0.509,0.42,0.4270000000000001,34.95890410958904
46,15,2,0.623,0.124,0.136,0.161,0.202,0.377,0.466,0.573,0.375,0.486,0.447,0.354,32.07692307692308
47,15,2,0.63,0.117,0.14800000000000002,0.17,0.195,0.37,0.481,0.5710000000000001,0.361,0.5,0.5,0.337,33.0188679245283
48,15,2,0.604,0.145,0.101,0.132,0.225,0.396,0.423,0.5760000000000001,0.435,0.433,0.314,0.4,30.08
49,16,2,0.7020000000000001,0.115,0.17800000000000002,0.193,0.217,0.298,0.469,0.609,0.458,0.455,0.416,0.382,33.394366197183096
50,17,2,0.64,0.1,0.117,0.18600000000000005,0.236,0.36,0.457,0.5710000000000001,0.449,0.449,0.424,0.411,25.901639344262296
51,18,2,0.568,0.093,0.123,0.154,0.198,0.4320000000000001,0.413,0.733,0.45,0.36,0.281,0.386,12.867924528301886
58,8,1,0.404,0.14,0.07,0.08800000000000001,0.105,0.596,0.217,0.25,0.5,0.2,0.0,0.294,14.75
64,15,4,0.936,0.628,0.16699999999999998,0.013,0.128,0.064,0.5479999999999999,0.6940000000000001,0.154,1.0,0.3,0.0,13.170731707317072
71,15,5,1.0,0.349,0.5710000000000001,0.06,0.006999999999999999,0.0,0.478,0.695,0.366,0.333,0.0,,16.0
72,16,5,1.0,0.56,0.4270000000000001,0.013,0.0,0.0,0.596,0.667,0.521,0.0,,,13.333333333333334
75,7,5,0.996,0.3670000000000001,0.129,0.194,0.305,0.004,0.505,0.71,0.484,0.312,0.39,0.0,22.095238095238095
76,8,4,0.994,0.197,0.272,0.218,0.308,0.006,0.486,0.693,0.463,0.443,0.403,0.14300000000000002,34.85526315789474
77,9,4,0.977,0.245,0.211,0.179,0.343,0.023,0.489,0.6709999999999999,0.45,0.422,0.418,0.25,37.08641975308642
